,Outlet,Date,Positive,Negative,Neutral,Compound,Tweets Ago
0,@CNN,Sat Jun 02 08:30:12 +0000 2018,0.154,0.846,0.0,0.4767,0
1,@CNN,Sat Jun 02 08:15:07 +0000 2018,0.0,1.0,0.0,0.0,1
2,@CNN,Sat Jun 02 08:00:17 +0000 2018,0.156,0.844,0.0,0.3612,2
3,@CNN,Sat Jun 02 07:45:04 +0000 2018,0.138,0.862,0.0,0.4939,3
4,@CNN,Sat Jun 02 07:30:06 +0000 2018,0.369,0.631,0.0,0.8602,4
5,@CNN,Sat Jun 02 07:15:00 +0000 2018,0.0,1.0,0.0,0.0,5
6,@CNN,Sat Jun 02 07:00:07 +0000 2018,0.0,0.92,0.08,-0.1027,6
7,@CNN,Sat Jun 02 06:45:00 +0000 2018,0.161,0.839,0.0,0.3612,7
8,@CNN,Sat Jun 02 06:30:00 +0000 2018,0.0,0.887,0.113,-0.4215,8
9,@CNN,Sat Jun 02 06:15:03 +0000 2018,0.0,1.0,0.0,0.0,9
10,@CNN,Sat Jun 02 06:00:45 +0000 2018,0.0,0.483,0.517,-0.9524,10
11,@CNN,Sat Jun 02 05:45:01 +0000 2018,0.0,0.816,0.184,-0.6705,11
12,@CNN,Sat Jun 02 05:30:05 +0000 2018,0.106,0.65,0.244,-0.5267,12
13,@CNN,Sat Jun 02 05:15:03 +0000 2018,0.108,0.678,0.214,-0.3612,13
14,@CNN,Sat Jun 02 05:00:08 +0000 2018,0.108,0.678,0.214,-0.3612,14
15,@CNN,Sat Jun 02 05:00:08 +0000 2018,0.122,0.769,0.109,0.0772,15
16,@CNN,Sat Jun 02 04:45:00 +0000 2018,0.31,0.69,0.0,0.802,16
17,@CNN,Sat Jun 02 04:30:08 +0000 2018,0.191,0.739,0.07,0.4215,17
18,@CNN,Sat Jun 02 04:29:25 +0000 2018,0.0,0.868,0.132,-0.4939,18
19,@CNN,Sat Jun 02 04:15:03 +0000 2018,0.0,0.795,0.205,-0.5574,19
20,@BBC,Sat Jun 02 08:01:03 +0000 2018,0.0,1.0,0.0,0.0,0
21,@BBC,Sat Jun 02 07:51:56 +0000 2018,0.0,0.881,0.119,-0.4019,1
22,@BBC,Fri Jun 01 19:06:04 +0000 2018,0.0,1.0,0.0,0.0,2
23,@BBC,Fri Jun 01 18:01:07 +0000 2018,0.333,0.667,0.0,0.4588,3
24,@BBC,Fri Jun 01 16:33:00 +0000 2018,0.0,1.0,0.0,0.0,4
25,@BBC,Fri Jun 01 16:04:04 +0000 2018,0.0,1.0,0.0,0.0,5
26,@BBC,Fri Jun 01 15:29:31 +0000 2018,0.158,0.842,0.0,0.4588,6
27,@BBC,Fri Jun 01 14:24:40 +0000 2018,0.203,0.797,0.0,0.6249,7
28,@BBC,Fri Jun 01 13:00:21 +0000 2018,0.185,0.7,0.115,0.1779,8
29,@BBC,Fri Jun 01 12:32:03 +0000 2018,0.316,0.684,0.0,0.5719,9
30,@BBC,Fri Jun 01 12:01:05 +0000 2018,0.0,1.0,0.0,0.0,10
31,@BBC,Fri Jun 01 11:10:46 +0000 2018,0.053,0.947,0.0,0.0772,11
32,@BBC,Fri Jun 01 11:00:16 +0000 2018,0.06,0.688,0.252,-0.6369,12
33,@BBC,Fri Jun 01 10:28:25 +0000 2018,0.0,1.0,0.0,0.0,13
34,@BBC,Fri Jun 01 10:01:36 +0000 2018,0.0,1.0,0.0,0.0,14
35,@BBC,Fri Jun 01 08:20:46 +0000 2018,0.0,1.0,0.0,0.0,15
36,@BBC,Fri Jun 01 08:00:05 +0000 2018,0.259,0.612,0.129,0.4404,16
37,@BBC,Fri Jun 01 07:33:03 +0000 2018,0.0,1.0,0.0,0.0,17
38,@BBC,Fri Jun 01 07:00:15 +0000 2018,0.306,0.496,0.198,0.3182,18
39,@BBC,Thu May 31 19:02:02 +0000 2018,0.0,0.756,0.244,-0.7003,19
40,@CBS,Fri Jun 01 17:39:17 +0000 2018,0.062,0.807,0.131,-0.3903,0
41,@CBS,Fri Jun 01 17:00:03 +0000 2018,0.336,0.664,0.0,0.8442,1
42,@CBS,Thu May 31 23:50:00 +0000 2018,0.455,0.545,0.0,0.8932,2
43,@CBS,Wed May 30 15:07:34 +0000 2018,0.151,0.849,0.0,0.4926,3
44,@CBS,Mon May 28 21:00:01 +0000 2018,0.0,1.0,0.0,0.0,4
45,@CBS,Mon May 28 02:08:19 +0000 2018,0.0,1.0,0.0,0.0,5
46,@CBS,Wed May 23 23:07:38 +0000 2018,0.203,0.797,0.0,0.6239,6
47,@CBS,Wed May 23 19:02:43 +0000 2018,0.174,0.826,0.0,0.5859,7
48,@CBS,Tue May 22 23:19:40 +0000 2018,0.083,0.917,0.0,0.1139,8
49,@CBS,Tue May 22 20:02:22 +0000 2018,0.0,1.0,0.0,0.0,9
50,@CBS,Mon May 21 23:00:01 +0000 2018,0.0,1.0,0.0,0.0,10
51,@CBS,Sun May 20 20:00:00 +0000 2018,0.131,0.808,0.061,0.3382,11
52,@CBS,Sun May 20 17:00:01 +0000 2018,0.08,0.92,0.0,0.1867,12
53,@CBS,Sat May 19 08:00:01 +0000 2018,0.285,0.715,0.0,0.4199,13
54,@CBS,Fri May 18 21:00:01 +0000 2018,0.0,1.0,0.0,0.0,14
55,@CBS,Fri May 18 14:00:03 +0000 2018,0.151,0.849,0.0,0.3595,15
56,@CBS,Thu May 17 23:44:27 +0000 2018,0.261,0.739,0.0,0.7177,16
57,@CBS,Thu May 17 21:19:59 +0000 2018,0.093,0.907,0.0,0.1867,17
58,@CBS,Thu May 17 19:12:51 +0000 2018,0.0,1.0,0.0,0.0,18
59,@CBS,Thu May 17 13:00:00 +0000 2018,0.146,0.854,0.0,0.5562,19
60,@FoxNews,Sat Jun 02 08:45:00 +0000 2018,0.0,1.0,0.0,0.0,0
61,@FoxNews,Sat Jun 02 08:15:00 +0000 2018,0.0,1.0,0.0,0.0,1
62,@FoxNews,Sat Jun 02 08:00:00 +0000 2018,0.229,0.771,0.0,0.6183,2
63,@FoxNews,Sat Jun 02 07:50:00 +0000 2018,0.194,0.667,0.139,0.2263,3
64,@FoxNews,Sat Jun 02 07:38:00 +0000 2018,0.0,0.707,0.293,-0.4404,4
65,@FoxNews,Sat Jun 02 07:18:00 +0000 2018,0.0,0.765,0.235,-0.6124,5
66,@FoxNews,Sat Jun 02 06:58:00 +0000 2018,0.0,0.859,0.141,-0.2023,6
67,@FoxNews,Sat Jun 02 06:40:00 +0000 2018,0.242,0.758,0.0,0.6249,7
68,@FoxNews,Sat Jun 02 06:30:00 +0000 2018,0.0,1.0,0.0,0.0,8
69,@FoxNews,Sat Jun 02 06:10:00 +0000 2018,0.167,0.833,0.0,0.296,9
70,@FoxNews,Sat Jun 02 05:54:00 +0000 2018,0.145,0.855,0.0,0.296,10
71,@FoxNews,Sat Jun 02 05:40:00 +0000 2018,0.219,0.781,0.0,0.4215,11
72,@FoxNews,Sat Jun 02 05:20:00 +0000 2018,0.231,0.769,0.0,0.6369,12
73,@FoxNews,Sat Jun 02 05:10:00 +0000 2018,0.098,0.699,0.203,-0.3612,13
74,@FoxNews,Sat Jun 02 04:55:00 +0000 2018,0.0,0.865,0.135,-0.4215,14
75,@FoxNews,Sat Jun 02 04:35:00 +0000 2018,0.099,0.661,0.24,-0.4559,15
76,@FoxNews,Sat Jun 02 04:20:00 +0000 2018,0.157,0.508,0.335,-0.5423,16
77,@FoxNews,Sat Jun 02 04:05:00 +0000 2018,0.0,1.0,0.0,0.0,17
78,@FoxNews,Sat Jun 02 03:45:00 +0000 2018,0.246,0.754,0.0,0.5563,18
79,@FoxNews,Sat Jun 02 03:30:00 +0000 2018,0.0,1.0,0.0,0.0,19
80,@nytimes,Sat Jun 02 08:33:16 +0000 2018,0.0,1.0,0.0,0.0,0
81,@nytimes,Sat Jun 02 08:17:04 +0000 2018,0.0,0.807,0.193,-0.4767,1
82,@nytimes,Sat Jun 02 07:54:07 +0000 2018,0.0,0.808,0.192,-0.6124,2
83,@nytimes,Sat Jun 02 07:37:00 +0000 2018,0.0,1.0,0.0,0.0,3
84,@nytimes,Sat Jun 02 07:19:38 +0000 2018,0.076,0.775,0.149,-0.3248,4
85,@nytimes,Sat Jun 02 07:02:06 +0000 2018,0.0,1.0,0.0,0.0,5
86,@nytimes,Sat Jun 02 06:44:36 +0000 2018,0.0,0.773,0.227,-0.6486,6
87,@nytimes,Sat Jun 02 06:26:37 +0000 2018,0.098,0.709,0.193,-0.4215,7
88,@nytimes,Sat Jun 02 06:08:46 +0000 2018,0.0,0.871,0.129,-0.4767,8
